,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
96,Rare Wine Co.,New York Malmsey (Special Reserve) N.V.,Portugal_Madeira,4.2,$69.99,Port,Portugal,Madeira,N.V.,Port
97,Taylor's,Vintage Port 1994,Portugal_Porto,4.7,$410.99,Port,Portugal,Porto,1994,Vintage
98,Barbadillo,Príncipe Amontillado Sherry N.V.,Spain_Amontillado Sherry,3.8,$45.99,Port,Spain,Amontillado Sherry,N.V.,Sherry
99,Vieira de Sousa,10 Anos White Port N.V.,Portugal_Porto,4.0,$29,Port,Portugal,Porto,N.V.,10
100,Dow's,Vintage Port 1994,Portugal_Porto,4.5,$119.99,Port,Portugal,Porto,1994,Vintage
101,Lustau,San Emilio Pedro Ximenez N.V.,Spain_Jerez-Xérès-Sherry,4.1,$31.99,Port,Spain,Jerez-Xérès-Sherry,N.V.,Port
102,Ramos Pinto,Late Bottled Vintage Port 2013,Portugal_Porto,4.0,$25.29,Port,Portugal,Porto,2013,Vintage
103,Wine & Soul,Pintas 10 Years Old Tawny Port N.V.,Portugal_Porto,4.0,$52.99,Port,Portugal,Porto,N.V.,Tawny
104,Taylor's,Quinta de Vargellas Vintage Port 2005,Portugal_Porto,4.3,$59.99,Port,Portugal,Porto,2005,Vintage
105,Dow's,Vintage Port 1977,Portugal_Porto,4.5,$143.99,Port,Portugal,Porto,1977,Vintage
106,Emilio Hidalgo,Hidalgo Gobernador Oloroso Seco N.V.,Spain_Oloroso Sherry,3.9,$26.99,Port,Spain,Oloroso Sherry,N.V.,Port
107,Warre's,Vintage Port 1985,Portugal_Porto,4.5,$129.99,Port,Portugal,Porto,1985,Vintage
108,W. & J. Graham's,Vintage Port 2011,Portugal_Porto,4.5,$89.99,Port,Portugal,Porto,2011,Vintage
109,Toro Albalá,Don PX Convento Selección 1946,Spain_Montilla-Moriles,4.9,$307.98,Port,Spain,Montilla-Moriles,1946,Port
110,Broadbent,Madeira 10 Years Old Malmsey N.V.,Portugal_Madeira,4.2,$54.99,Port,Portugal,Madeira,N.V.,10
111,Niepoort,Late Bottled Vintage Port 2014,Portugal_Porto,3.9,$28.99,Port,Portugal,Porto,2014,Vintage
112,Gutiérrez Colosía,Oloroso Sherry N.V.,Spain_Oloroso Sherry,3.6,$26,Port,Spain,Oloroso Sherry,N.V.,Sherry
113,Dow's,Quinta do Bomfim Vintage Port 2005,Portugal_Porto,4.1,$56.99,Port,Portugal,Porto,2005,Vintage
114,Smith Woodhouse,20 Year Old Tawny Porto N.V.,Portugal_Porto,4.2,$49.99,Port,Portugal,Porto,N.V.,Tawny
115,Henriques & Henriques,Malvasia 20 Years Old Madeira N.V.,Portugal_Madeira,4.2,$99.99,Port,Portugal,Madeira,N.V.,20
116,Dow's,Vintage Port 2007,Portugal_Porto,4.7,$199.99,Port,Portugal,Porto,2007,Vintage
117,Ferreira,Dona Antonia 20 Años Old Tawny Porto N.V.,Portugal_Porto,4.4,$64.99,Port,Portugal,Porto,N.V.,Tawny
118,Quinta do Noval,Silval Vintage Port 2000,Portugal_Porto,4.2,$52.99,Port,Portugal,Porto,2000,Vintage
119,Maynard's,40 Years Old Aged Tawny Port N.V.,Portugal_Porto,4.2,$79.99,Port,Portugal,Porto,N.V.,Tawny
120,Feuerheerd's,Colheita Port N.V.,Portugal_Porto,4.1,$137.99,Port,Portugal,Porto,N.V.,Colheita
121,Taylor's,Reserve Tawny Porto N.V.,Portugal_Porto,4.0,$79.99,Port,Portugal,Porto,N.V.,Tawny
122,Loel,Commandaria Alasia N.V.,Cyprus_Commandaria,4.2,$29.99,Port,Cyprus,Commandaria,N.V.,Port
123,Croft,Vintage Port 2011,Portugal_Porto,4.4,$92.99,Port,Portugal,Porto,2011,Vintage
