,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
115,Laurent-Perrier,Brut Cuvée Champagne Rosé N.V.,France_Champagne,4.3,$69.95,Sparkling,France,Champagne,N.V.,Brut
116,Ruinart,Blanc de Blancs Brut Champagne N.V.,France_Champagne,4.3,$74.95,Sparkling,France,Champagne,N.V.,Brut
117,Pol Roger,Brut Champagne (Extra Cuvée de Réserve) N.V.,France_Champagne,4.3,$56.99,Sparkling,France,Champagne,N.V.,Brut
118,Veuve Clicquot,Brut Rosé Champagne N.V.,France_Champagne,4.3,$54.99,Sparkling,France,Champagne,N.V.,Brut
119,Ruinart,Brut Rosé Champagne N.V.,France_Champagne,4.3,$69.99,Sparkling,France,Champagne,N.V.,Brut
120,Castello del Poggio,Moscato d'Asti N.V.,Italy_Moscato d'Asti,4.3,$10.99,Sparkling,Italy,Moscato d'Asti,N.V.,Moscato
121,Egly-Ouriet,Brut Tradition Champagne Grand Cru 'Ambonnay' N.V.,France_Champagne Grand Cru 'Ambonnay',4.3,$79.99,Sparkling,France,Champagne Grand Cru 'Ambonnay',N.V.,Brut
122,Billecart-Salmon,Blanc de Blancs Brut Champagne Grand Cru N.V.,France_Champagne Grand Cru,4.3,$84.99,Sparkling,France,Champagne Grand Cru,N.V.,Brut
123,Stella Rosa,Moscato d'Asti N.V.,Italy_Moscato d'Asti,4.3,$11.89,Sparkling,Italy,Moscato d'Asti,N.V.,Moscato
124,Nicolas Feuillatte,Palmes d'Or Vintage Brut Champagne N.V.,France_Champagne,4.3,$119.99,Sparkling,France,Champagne,N.V.,Brut
125,Andre Clouet,Un Jour de 1911 Brut Champagne Grand Cru 'Bouzy' N.V.,France_Champagne Grand Cru 'Bouzy',4.3,$99.95,Sparkling,France,Champagne Grand Cru 'Bouzy',1911,Brut
126,Louis Roederer,Brut Champagne (Vintage) N.V.,France_Champagne,4.3,$39.99,Sparkling,France,Champagne,N.V.,Brut
127,Stella Rosa,Stella Peach N.V.,Italy_Piemonte,4.3,$10.99,Sparkling,Italy,Piemonte,N.V.,Sparkling
128,Veuve Clicquot,Vintage Rosé Brut Champagne 2008,France_Champagne,4.3,$86.99,Sparkling,France,Champagne,2008,Brut
129,Mia Dolcea,Moscato N.V.,Italy_Piemonte,4.3,$16.99,Sparkling,Italy,Piemonte,N.V.,Moscato
130,Ulysse Collin,Les Maillons Blanc de Noirs Extra Brut Champagne N.V.,France_Champagne,4.3,$115,Sparkling,France,Champagne,N.V.,Blanc de Noir
131,Moët & Chandon,Nectar Impérial (Demi-Sec) Rosé Champagne N.V.,France_Champagne,4.3,$59.92,Sparkling,France,Champagne,N.V.,Demi-Sec
132,Veuve Clicquot,Vintage Brut Champagne 2004,France_Champagne,4.3,$89.99,Sparkling,France,Champagne,2004,Brut
133,Moët & Chandon,Grand Vintage Brut Champagne 2002,France_Champagne,4.3,$79.99,Sparkling,France,Champagne,2002,Brut
