,winery,wine,rating,wine_style,wine_category,vintage,region,country,price,contact_for_price,wine_style_code,wine_category_code,region_code,country_code
29817,Le Grand Courtâge,Grande Cuvée Blanc de Blancs Brut N.V.,3.8,Brut,Sparkling,N.V.,Vin de France,France,17.99,,13,4,906,12
29818,Boizel,Réserve Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,49.99,,13,4,192,12
29819,Vollereaux,Blanc de Blancs Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,63.99,,13,4,192,12
29820,Loimer,Extra Brut N.V.,3.8,Brut,Sparkling,N.V.,Niederösterreich,Austria,34.99,,13,4,597,3
29821,Ruggeri,Cartizze N.V.,3.8,Sparkling,Sparkling,N.V.,Conegliano-Valdobbiadene Prosecco,Italy,41.99,,77,4,262,19
29822,Farnese,Fantini Gran Cuvée Rosé N.V.,3.8,Rosé,Sparkling,N.V.,Aglianico del Vulture,Italy,29.99,,67,4,5,19
29823,LaLuca,Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco di Treviso,Italy,10.97,,60,4,673,19
29824,Jeeper,Grand Assemblage Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,54.99,,13,4,192,12
29825,Tribaut Schloesser,Brut Origine Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,43.99,,13,4,192,12
29826,Schramsberg,Brut Mirabelle N.V.,3.8,Brut,Sparkling,N.V.,California,United States,22.99,,13,4,132,36
29827,Merotto,Colbelo Valdobbiadene Prosecco Superiore Extra Dry N.V.,3.8,Prosecco,Sparkling,N.V.,Conegliano-Valdobbiadene Prosecco,Italy,22.99,,60,4,262,19
29828,Ronco Calino,Franciacorta Brut N.V.,3.8,Brut,Sparkling,N.V.,Franciacorta,Italy,29.99,,13,4,358,19
29829,Le Colture,Fagher Valdobbiadene Prosecco Superiore Brut N.V.,3.8,Brut,Sparkling,N.V.,Conegliano-Valdobbiadene Prosecco,Italy,18.99,,13,4,262,19
29830,The Chook,Sparkling Shiraz N.V.,3.8,Sparkling,Sparkling,N.V.,South Australia,Australia,18.99,,77,4,807,2
29831,Jacquart,Rosé Champagne N.V.,3.8,Rosé,Sparkling,N.V.,Champagne,France,54.99,,67,4,192,12
29832,Fantinel,One & Only Rose N.V.,3.8,Rose,Sparkling,N.V.,Friuli Grave,Italy,19.99,,66,4,365,19
29833,Laherte Freres,Rosé de Meunier Extra Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,50.0,,13,4,192,12
29834,Tiamo,Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,15.99,,60,4,672,19
29835,Cinzano,Asti N.V.,3.8,Sparkling,Sparkling,N.V.,Asti,Italy,10.99,,77,4,53,19
29836,Gloria Ferrer,Blanc de Blancs Brut N.V.,3.8,Brut,Sparkling,N.V.,Los Carneros,United States,20.99,,13,4,472,36
29837,Drappier,Brut Rosé Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,56.99,,13,4,192,12
29838,Mirabella,Franciacorta Rosé N.V.,3.8,Rosé,Sparkling,N.V.,Franciacorta,Italy,27.99,,67,4,358,19
29839,Loimer,Brut Rosé (Reserve) N.V.,3.8,Brut,Sparkling,N.V.,Niederösterreich,Austria,31.99,,13,4,597,3
29840,Valdo,Valdobbiadene Cuvée 1926 N.V.,3.8,Sparkling,Sparkling,N.V.,Conegliano-Valdobbiadene Prosecco,Italy,19.99,,77,4,262,19
29841,Colmant,Brut Reserve N.V.,3.8,Brut,Sparkling,N.V.,Franschhoek,South Africa,26.0,,13,4,362,31
29842,Francis Ford Coppola,Sofia Blanc de Blancs 2016,3.8,Blanc de Blanc,Sparkling,2016,Monterey County,United States,17.59,,8,4,538,36
29843,JJ Vincent,Crémant de Bourgogne Brut N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Bourgogne,France,23.99,,25,4,296,12
29844,Argyle,Brut N.V.,3.8,Brut,Sparkling,N.V.,Willamette Valley,United States,19.99,,13,4,945,36
