,winery,wine,location,rating,price
1050,Domaine Weinbach,Clos des Capucins Cuvée Theo Riesling Alsace 2017,"France
·
Alsace",3.9,$44.99
1051,Alheit Vineyards,Hemelrand Vine Garden 2017,"South Africa
·
Western Cape",4.3,$44.99
1052,Nikolaihof,Federspiel Riesling 2015,"Austria
·
Wachau",3.9,$44.99
1053,J. Rochioli,Estate Grown Sauvignon Blanc 2018,"United States
·
Russian River Valley",4.1,$44.99
1054,Chateau Montelena,Chardonnay 2016,"United States
·
Napa Valley",4.4,$44.97
1055,Vie di Romans,Vieris Sauvignon Blanc 2017,"Italy
·
Friuli Isonzo",4.3,$43.99
1056,Domaine Stéphane Aladame,Les Vignes Derrière Montagny 1er Cru 2016,"France
·
Montagny Premier Cru",4.2,$43.99
1057,Tenuta Rapitalà,Grand Cru 2017,"Italy
·
Terre Siciliane",4.1,$43.99
1058,Lucien Crochet,Le Chêne Marchand Sancerre Blanc N.V.,"France
·
Sancerre",4.0,$43.99
1059,Domaine Weinbach,Clos des Capucins Gewürztraminer Alsace Altenbourg 2015,"France
·
Alsace",4.1,$43.99
1060,François Chidaine,Clos Habert Montlouis Sur Loire 2017,"France
·
Montlouis-sur-Loire",4.2,$43.99
1061,Alzinger,Smaragd Mühlpoint Grüner Veltliner 2018,"Austria
·
Wachau",3.8,$43.99
1062,Albert Mann,Vieilles Vignes Gewürztraminer Grand Cru Furstentum N.V.,"France
·
Alsace Grand Cru 'Furstentum'",4.0,$43.99
1063,Marco de Bartoli,Pietranera 2017,"Italy
·
Terre Siciliane",4.1,$43.99
1064,Domaine de la Charbonnière,Châteauneuf-du-Pape Blanc N.V.,"France
·
Châteauneuf-du-Pape",4.1,$43.99
1065,Lucien Crochet,Le Chêne Marchand Sancerre Blanc 2017,"France
·
Sancerre",4.3,$43.99
1066,Sixto,Frenchman Hills Chardonnay 2014,"United States
·
Columbia Valley",4.1,$43.99
1067,Argyros,Aidani 2017,"Greece
·
Santorini",3.8,$43.99
1068,Walter Hansel,Cuvée Alyce Chardonnay 2016,"United States
·
Russian River Valley",4.1,$43.99
1069,Merry Edwards,Sauvignon Blanc N.V.,"United States
·
Russian River Valley",4.4,$43.99
1070,Henry Fuchs,Riesling Alsace Grand Cru 'Kirchberg de Ribeauvillé' N.V.,"France
·
Alsace Grand Cru 'Kirchberg de Ribeauville'",4.1,$43.99
1071,Louis Latour,Beaune Blanc N.V.,"France
·
Beaune",3.8,$43.99
1072,DeMorgenzon,Reserve Chenin Blanc N.V.,"South Africa
·
Stellenbosch",4.2,$43.99
1073,Santo,Santorini Assyrtiko Grande Reserve 2017,"Greece
·
Santorini",4.2,$43.99
1074,Lynmar Estate,Quail Hill Vineyard Chardonnay 2013,"United States
·
Russian River Valley",4.3,$43.99
1075,Smith-Madrone Winery & Vineyards,Chardonnay 2016,"United States
·
Spring Mountain District",4.0,$43.99
1076,Château Henri Bonnaud,Quintessence Palette Blanc 2015,"France
·
Provence",4.1,$43.99
1077,Voyager Estate,Chardonnay 2016,"Australia
·
Margaret River",4.2,$43.99
1078,Albert Mann,Pinot Gris Grand Cru Hengst N.V.,"France
·
Alsace Grand Cru 'Hengst'",4.0,$43.99
1079,Donnafugata,Sul Vulcano Etna Bianco 2017,"Italy
·
Etna",4.2,$43.99
1080,Marimar Estate,Don Miguel Vineyard La Masía Chardonnay 2017,"United States
·
Russian River Valley",4.2,$43.99
1081,Vasse Felix,Chardonnay N.V.,"Australia
·
Margaret River",3.8,$43.99
1082,Domaine Weinbach,Clos des Capucins Gewürztraminer Alsace Altenbourg N.V.,"France
·
Alsace",4.2,$43.99
1083,Raymond,Reserve Selection Chardonnay 2012,"United States
·
Napa Valley",3.6,$43.99
