,winery,wine,location,rating,price
239,Taittinger,Nocturne City Lights Sec Champagne N.V.,"France
·
Champagne",4.0,$81.99
240,Bruno Paillard,Dosage Zéro Champagne N.V.,"France
·
Champagne",4.2,$80.99
241,G.H. Mumm,RSRV Blanc de Noirs Champagne N.V.,"France
·
Champagne",4.2,$80
242,Pere Ventura,Cava Vintage 2012,"Spain
·
Cava",4.1,$79.99
243,Ferrari,Perlé Rosé 2011,"Italy
·
Trento",3.7,$79.99
244,Pierre Paillard,La Grande Récolte Extra Brut Champagne Grand Cru 'Bouzy' 2006,"France
·
Champagne Grand Cru 'Bouzy'",4.2,$79.99
245,Château de Bligny,Clos Cuvée 6 Cépages Brut Champagne N.V.,"France
·
Champagne",4.0,$79.99
246,Gusbourne,Blanc de Blancs 2014,"United Kingdom
·
Kent",4.0,$79.99
247,Ayala,Blanc de Blancs Brut Aÿ Champagne 2013,"France
·
Champagne",3.9,$79.99
248,Pierre Gimonnet & Fils,Cuvée Oenophile Non Dose Extra Brut Champagne Premier Cru N.V.,"France
·
Champagne Premier Cru",4.1,$79.99
249,Ridgeview,Limited Release Blanc de Noirs Brut 2013,"United Kingdom
·
England",4.0,$79.99
250,Ca' del Bosco,Dosage Zéro Franciacorta (Vintage Collection) 2014,"Italy
·
Franciacorta",4.3,$79.99
251,Domaine Bruno Gobillard,Vieilles Vignes Brut Champagne N.V.,"France
·
Champagne",3.9,$79.99
252,Bruno Paillard,Assemblage Brut Champagne 2009,"France
·
Champagne",4.4,$79.99
253,Hattingley Valley,Blanc de Blancs 2011,"United Kingdom
·
England",4.1,$79.99
254,Laurent-Perrier,Blanc de Blancs Brut Nature N.V.,"France
·
Champagne",4.3,$79.99
255,Gosset,Brut Grand Rosé Champagne N.V.,"France
·
Champagne",4.1,$79.99
256,Bollinger,Rosé Brut Champagne N.V.,"France
·
Champagne",4.2,$79.99
257,Pere Ventura,Cava Vintage Rosé 2013,"Spain
·
Cava",3.9,$79.99
258,Trouillard,Cuvée du Fondateur Millésime Brut Champagne 2008,"France
·
Champagne",4.2,$79.99
259,Varnier Fannière,Brut Champagne Grand Cru 'Avize' N.V.,"France
·
Champagne Grand Cru 'Avize'",4.0,$79.99
