,winery,wine,location,rating,price
185,Fonseca,Vintage Port 1994,"Portugal
·
Porto",4.6,$380.99
186,Dow's,40 Years Old Tawny Port N.V.,"Portugal
·
Porto",4.5,$187.99
187,Bodegas Dios Baco,Elite Amontillado N.V.,"Spain
·
Amontillado Sherry",4.1,$31.99
188,Fonseca,Guimaraens Vintage Port 2015,"Portugal
·
Porto",4.1,$49.99
189,Fonseca,Vintage Port 2007,"Portugal
·
Porto",4.4,$109.99
190,Niepoort,Colheita Port 2007,"Portugal
·
Porto",4.1,$49.99
191,Quinta de La Rosa,Vintage Port 2011,"Portugal
·
Porto",4.2,$85.99
192,Williams & Humbert,Pando Fino N.V.,"Spain
·
Fino Sherry",3.2,$25.99
193,Quinta do Vale Meão,Vintage Port 2013,"Portugal
·
Porto",4.2,$89.99
194,Taylor's,Vintage Port 2017,"Portugal
·
Porto",4.3,$99.99
195,Alvear,Solera 1830 Pedro Ximénez N.V.,"Spain
·
Montilla-Moriles",4.5,$199.99
196,Quinta do Noval,Vintage Port 2015,"Portugal
·
Porto",4.3,$87.99
197,Croft,Vintage Port 2007,"Portugal
·
Porto",4.0,$130.99
198,Niepoort,Porto 10 Years Old Tawny 2010,"Portugal
·
Porto",4.0,$45
199,Osborne,Jerez-Xeres-Sherry Amontillado Solera AOS N.V.,"Spain
·
Jerez-Xérès-Sherry",4.1,$379.99
200,Broadbent,Madeira 10 Years Old Verdelho N.V.,"Portugal
·
Madeira",4.0,$49.99
201,Maynard's,30 Years Old Aged Tawny Porto N.V.,"Portugal
·
Porto",4.3,$54.99
202,Bodegas Dios Baco,Buleria Fino N.V.,"Spain
·
Fino Sherry",3.3,$28.99
203,Quinta do Noval,Vintage Port 2017,"Portugal
·
Porto",4.6,$119.99
204,Fonseca,Quinta do Panascal Vintage Port 2005,"Portugal
·
Porto",4.2,$57.99
205,Croft,Vintage Port 1994,"Portugal
·
Porto",4.3,$140.99
206,Quinta do Vesuvio,Vintage Port 2003,"Portugal
·
Porto",4.3,$74.99
207,Taylor's,Quinta de Vargellas Vintage Port 2017,"Portugal
·
Porto",4.2,$255.99
208,Quinta do Noval,Vintage Port 2016,"Portugal
·
Porto",4.4,$79.99
209,Romariz,20 Years Old Tawny Port N.V.,"Portugal
·
Porto",4.3,$46.99
210,Warre's,Vintage Port 2007,"Portugal
·
Porto",4.4,$79.99
211,Quinta do Vesuvio,Vintage Port 2013,"Portugal
·
Porto",4.4,$76.99
212,Cockburn's,Vintage Port 1970,"Portugal
·
Porto",4.4,$351.99
213,C. da Silva,Presidential 10 Years Tawny Porto N.V.,"Portugal
·
Porto",3.9,$29.99
214,Broadbent,Madeira 10 Years Old Sercial N.V.,"Portugal
·
Madeira",4.1,$49.99
215,Gonzalez-Byass,Pedro Ximénez Sherry (PX) N.V.,"Spain
·
Pedro Ximénez Sherry (PX)",4.0,$27.99
216,Bodegas Dios Baco,Cream Sherry N.V.,"Spain
·
Jerez-Xérès-Sherry",4.3,$31.99
217,Quinta de Santa Eufémia,30 Years Old Tawny Porto N.V.,"Portugal
·
Porto",4.4,$49.99
218,Quinta do Vesuvio,Vintage Port 2015,"Portugal
·
Porto",4.3,$84.99
219,Croft,Vintage Port 2009,"Portugal
·
Porto",3.9,$74.99
220,Sandeman,Quinta do Vau Vintage Port 2011,"Portugal
·
Porto",4.1,$129.99
221,Messias,Colheita Port 1980,"Portugal
·
Porto",4.4,$179.99
222,Alvear,Solera Fundación Amontillado N.V.,"Spain
·
Montilla-Moriles",4.5,$153.99
223,Ramos Pinto,Vintage Porto 1997,"Portugal
·
Porto",4.1,$119.99
224,Quinta de La Rosa,Vintage Port 2012,"Portugal
·
Porto",3.8,$85.99
225,Bodegas Dios Baco,Baco de Élite Oloroso N.V.,"Spain
·
Oloroso Sherry",3.8,$31.99
226,Blandy's,Terrantez Madeira 1980,"Portugal
·
Madeira",4.6,$299.99
227,D'Oliveiras,Verdelho Madeira 1994,"Portugal
·
Madeira",4.3,$145.99
228,Quinta do Noval,Vintage Port 2000,"Portugal
·
Porto",4.4,$97.99
229,Osborne,Pedro Ximenez Viejo Rare Sherry N.V.,"Spain
·
Jerez-Xérès-Sherry",4.5,$379.99
230,Warre's,Late Bottled Vintage Port 2008,"Portugal
·
Porto",3.6,$29.99
231,Quinta do Noval,Late Bottled Vintage Port 2013,"Portugal
·
Porto",3.8,$28.99
232,Dow's,Vintage Port 2016,"Portugal
·
Porto",4.4,$98.99
233,Maynard's,10 Years Old White Porto N.V.,"Portugal
·
Porto",3.7,$31.99
234,Cockburn's,Vintage Port 2000,"Portugal
·
Porto",4.4,$89.99
235,Messias,Colheita Port 1977,"Portugal
·
Porto",4.5,$189.99
236,Quinta de Santa Eufémia,Vintage Port 2007,"Portugal
·
Porto",3.8,$34.99
237,Henriques & Henriques,Verdelho 20 Years Old Madeira N.V.,"Portugal
·
Madeira",4.2,$99.99
238,Domaine de Durban,Muscat de Beaumes-de-Venise 2016,"France
·
Beaumes-de-Venise",3.8,$32.99
239,Croft,Quinta da Roeda Vintage Port 2015,"Portugal
·
Porto",4.1,$59.99
240,Dow's,Quinta Senhora da Ribeira Vintage Port 2012,"Portugal
·
Porto",4.5,$69.99
241,Fonseca,Vintage Port 1997,"Portugal
·
Porto",4.3,$95
242,Fonseca,Vintage Port 2016,"Portugal
·
Porto",4.2,$87.98
243,Ferreira,Vintage Port 1999,"Portugal
·
Porto",4.3,$125.99
244,El Maestro Sierra,Oloroso 1/14 N.V.,"Spain
·
Jerez-Xérès-Sherry",4.2,$124.99
245,Warre's,Vintage Port 2003,"Portugal
·
Porto",4.0,$65.98
246,Quinta de Roriz,Vintage Port 2000,"Portugal
·
Porto",4.3,$58.99
247,D'Oliveiras,Terrantez Madeira 1971,"Portugal
·
Madeira",4.5,$299.99
