,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
155,DAOU,Cabernet Sauvignon 2017,United States_Paso Robles,4.1,$25.99,red,United States,Paso Robles,2017,Cabernet Sauvignon
156,Cousiño-Macul,Finis Terrae Cabernet Sauvignon - Merlot N.V.,Chile_Maipo Valley,4.1,$26.39,red,Chile,Maipo Valley,N.V.,Cabernet Sauvignon
157,Luigi Bosca,Malbec 2015,Argentina_Mendoza,4.1,$26.99,red,Argentina,Mendoza,2015,Malbec
158,Pine Ridge,Napa Valley Cabernet Sauvignon N.V.,United States_Napa Valley,4.3,$54.98,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
159,Benjamin de Rothschild - Vega Sicilia,Macán Clásico N.V.,Spain_Rioja,4.2,$54.99,red,Spain,Rioja,N.V.,Blend
160,Prunotto,Barbaresco N.V.,Italy_Barbaresco,3.9,$43.99,red,Italy,Barbaresco,N.V.,Blend
161,EnRoute,Les Pommiers Pinot Noir N.V.,United States_Russian River Valley,4.4,$38.95,red,United States,Russian River Valley,N.V.,Pinot Noir
162,Isole e Olena,Cepparello Red N.V.,Italy_Toscana,4.3,$76.98,red,Italy,Toscana,N.V.,Blend
163,M. Chapoutier,Domaine de Bila-Haut Occultum Lapidem N.V.,France_Côtes du Roussillon Villages 'Latour de France',3.8,$32.98,red,France,Côtes du Roussillon Villages 'Latour de France',N.V.,Blend
164,Domaine Serene,Evenstad Reserve Pinot Noir N.V.,United States_Willamette Valley,4.4,$87.98,red,United States,Willamette Valley,N.V.,Pinot Noir
165,Viña Cobos,Bramare Cabernet Sauvignon N.V.,Argentina_Lujan de Cuyo,4.3,$41.79,red,Argentina,Lujan de Cuyo,N.V.,Cabernet Sauvignon
166,Masi,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico N.V.,Italy_Amarone della Valpolicella,4.3,$87.99,red,Italy,Amarone della Valpolicella,N.V.,Valpolicella
167,Donnafugata,Tancredi N.V.,Italy_Terre Siciliane,4.0,$38.49,red,Italy,Terre Siciliane,N.V.,Blend
168,R. López de Heredia Viña Tondonia,Viña Bosconia Reserva N.V.,Spain_Rioja Alta,4.0,$43.98,red,Spain,Rioja Alta,N.V.,Blend
169,Stag's Leap Wine Cellars,ARTEMIS Cabernet Sauvignon 2016,United States_Napa Valley,4.4,$54.99,red,United States,Napa Valley,2016,Cabernet Sauvignon
170,Kanonkop,Paul Sauer N.V.,South Africa_Stellenbosch,4.3,$65.98,red,South Africa,Stellenbosch,N.V.,Blend
171,R. López de Heredia Viña Tondonia,Viña Cubillo N.V.,Spain_Rioja Alta,3.8,$27.49,red,Spain,Rioja Alta,N.V.,Blend
